,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_hours,delay_minutes,delay
5045,553167,292319,connect,ended,-43.0,,,-1.0,17.0,early
5046,553236,389785,connect,ended,222.0,,,3.0,42.0,late
5054,553602,390927,connect,ended,69.0,,,1.0,9.0,late
5059,553720,402988,connect,ended,51.0,,,0.0,51.0,late
5062,553868,310553,connect,ended,1.0,,,0.0,1.0,late
5065,554039,345445,connect,ended,-139.0,,,-3.0,41.0,early
5066,554090,321310,connect,ended,-338.0,,,-6.0,22.0,early
5075,554559,383720,connect,ended,19.0,,,0.0,19.0,late
5084,554931,391891,connect,ended,-40.0,,,-1.0,20.0,early
5085,555136,375889,connect,ended,125.0,,,2.0,5.0,late
5086,555143,320834,connect,ended,25.0,564613.0,120.0,0.0,25.0,late
5092,555597,387602,connect,ended,-13.0,,,-1.0,47.0,early
5096,555752,301301,connect,ended,119.0,,,1.0,59.0,late
5107,556500,362187,connect,ended,15.0,555592.0,60.0,0.0,15.0,late
5110,556612,366164,connect,ended,-10.0,,,-1.0,50.0,early
5111,556654,298516,connect,ended,-402.0,,,-7.0,18.0,early
5119,557053,402989,connect,ended,-95.0,,,-2.0,25.0,early
5127,557529,369447,connect,ended,-25.0,,,-1.0,35.0,early
5136,557928,383344,connect,ended,,540817.0,60.0,,,on time
5138,558068,357530,connect,ended,-81.0,,,-2.0,39.0,early
5139,558145,385006,connect,ended,-89.0,,,-2.0,31.0,early
5154,556280,289901,connect,ended,-85.0,,,-2.0,35.0,early
5155,556319,383462,connect,ended,55.0,558174.0,660.0,0.0,55.0,late
5158,556825,404130,connect,ended,-7.0,551494.0,720.0,-1.0,53.0,early
5164,557264,371214,connect,ended,-2.0,,,-1.0,58.0,early
5166,557427,403563,connect,ended,-98.0,,,-2.0,22.0,early
5177,558206,401871,connect,ended,-77.0,,,-2.0,43.0,early
5179,558258,357530,connect,ended,2.0,557097.0,690.0,0.0,2.0,late
5193,559313,265239,connect,ended,-48.0,,,-1.0,12.0,early
5196,559594,291932,connect,ended,-408.0,556581.0,150.0,-7.0,12.0,early
5199,559739,308181,connect,ended,8.0,564990.0,120.0,0.0,8.0,late
5212,560453,289496,connect,ended,-470.0,,,-8.0,10.0,early
5216,560690,248889,connect,ended,-932.0,,,-16.0,28.0,early
5220,560987,334190,connect,ended,-42.0,,,-1.0,18.0,early
5229,561722,384657,connect,ended,224.0,,,3.0,44.0,late
5236,562254,376901,connect,ended,-6.0,,,-1.0,54.0,early
5238,562527,402528,connect,ended,-203.0,,,-4.0,37.0,early
5248,563313,378754,connect,ended,57.0,,,0.0,57.0,late
5255,563661,338584,connect,ended,-38.0,567637.0,630.0,-1.0,22.0,early
5272,557404,181625,connect,ended,-352.0,554077.0,120.0,-6.0,8.0,early
5275,557425,311923,connect,ended,-104.0,,,-2.0,16.0,early
5278,557631,398586,connect,ended,-38.0,,,-1.0,22.0,early
5280,557661,338243,connect,ended,-626.0,,,-11.0,34.0,early
5284,557848,275062,connect,ended,-3.0,,,-1.0,57.0,early
5290,558085,366287,connect,ended,68.0,,,1.0,8.0,late
5292,558174,383462,connect,ended,-1.0,,,-1.0,59.0,early
5301,558733,320824,connect,ended,36.0,554117.0,150.0,0.0,36.0,late
5307,559077,355444,connect,ended,0.0,554528.0,240.0,0.0,0.0,on time
5313,559491,243208,connect,ended,1459.0,,,24.0,19.0,late
5320,559867,385628,connect,ended,-228.0,,,-4.0,12.0,early
5337,561838,346652,connect,ended,12.0,,,0.0,12.0,late
5344,562329,367361,connect,ended,-107.0,,,-2.0,13.0,early
5345,562336,399528,connect,ended,-384.0,,,-7.0,36.0,early
5350,562840,403563,connect,ended,102.0,,,1.0,42.0,late
5351,562870,387723,connect,ended,-2.0,,,-1.0,58.0,early
5358,560938,407636,connect,ended,-50.0,555004.0,660.0,-1.0,10.0,early
5361,561170,387602,connect,ended,266.0,,,4.0,26.0,late
5364,561312,362531,connect,ended,,,,,,on time
5370,537360,367365,connect,ended,-370.0,543323.0,630.0,-7.0,50.0,early
5380,537933,377591,connect,ended,-107.0,,,-2.0,13.0,early
5383,538013,402562,connect,ended,-37.0,,,-1.0,23.0,early
5394,539327,383720,connect,ended,-618.0,,,-11.0,42.0,early
5396,539371,385625,connect,ended,-54.0,,,-1.0,6.0,early
5398,539424,347660,connect,ended,-117.0,,,-2.0,3.0,early
5409,554518,387810,connect,ended,9.0,,,0.0,9.0,late
5410,554544,340868,connect,ended,-3.0,,,-1.0,57.0,early
5419,554841,291856,connect,ended,14.0,,,0.0,14.0,late
5428,555515,410939,connect,ended,-178.0,,,-3.0,2.0,early
5431,555913,282880,connect,ended,103.0,,,1.0,43.0,late
5444,556967,367632,connect,ended,-33.0,,,-1.0,27.0,early
5445,557038,383443,connect,ended,234.0,,,3.0,54.0,late
5448,557115,216576,connect,ended,98.0,,,1.0,38.0,late
5457,557861,402779,connect,ended,6.0,,,0.0,6.0,late
5464,558291,341119,connect,ended,50.0,,,0.0,50.0,late
5476,563840,389785,connect,ended,-146.0,,,-3.0,34.0,early
5482,564507,286751,connect,ended,69.0,,,1.0,9.0,late
5494,565591,381787,connect,ended,-4.0,572671.0,720.0,-1.0,56.0,early
5499,565702,319866,connect,ended,9.0,,,0.0,9.0,late
5507,566264,401475,connect,ended,-55.0,517671.0,660.0,-1.0,5.0,early
5515,566648,383110,connect,ended,-77.0,568065.0,480.0,-2.0,43.0,early
5517,566774,377591,connect,ended,281.0,544588.0,0.0,4.0,41.0,late
5525,516961,385721,connect,ended,-32.0,542219.0,0.0,-1.0,28.0,early
5540,523552,362531,connect,ended,-78.0,,,-2.0,42.0,early
5547,525837,244848,connect,ended,172.0,543686.0,120.0,2.0,52.0,late
5552,529134,384193,connect,ended,22.0,,,0.0,22.0,late
5553,529169,378072,connect,ended,1.0,,,0.0,1.0,late
5561,532534,367365,connect,ended,-81.0,,,-2.0,39.0,early
5564,532915,390702,connect,ended,76.0,,,1.0,16.0,late
5568,534392,343609,connect,ended,-354.0,,,-6.0,6.0,early
5578,535307,385006,connect,ended,14.0,,,0.0,14.0,late
5579,535364,284459,connect,ended,7.0,,,0.0,7.0,late
5584,566845,305816,connect,ended,1.0,,,0.0,1.0,late
5586,558633,336650,connect,ended,19.0,557424.0,0.0,0.0,19.0,late
5587,558702,376840,connect,ended,-164.0,552598.0,690.0,-3.0,16.0,early
5604,560099,356551,connect,ended,-601.0,,,-11.0,59.0,early
5611,560610,300505,connect,ended,-54.0,,,-1.0,6.0,early
5619,561146,366164,connect,ended,82.0,,,1.0,22.0,late
5626,561666,290726,connect,ended,-1.0,,,-1.0,59.0,early
5629,561760,402985,connect,ended,5.0,,,0.0,5.0,late
5631,561935,347464,connect,ended,116.0,566651.0,300.0,1.0,56.0,late
5633,562036,385918,connect,ended,-37.0,,,-1.0,23.0,early
5638,562244,391519,connect,ended,,,,,,on time
5641,562461,305816,connect,ended,68.0,,,1.0,8.0,late
5650,563248,385625,connect,ended,6.0,556513.0,0.0,0.0,6.0,late
5656,563508,345080,connect,ended,-291.0,,,-5.0,9.0,early
5657,563620,383344,connect,ended,74.0,,,1.0,14.0,late
5661,564300,391882,connect,ended,8.0,,,0.0,8.0,late
5662,564346,289112,connect,ended,24.0,,,0.0,24.0,late
5664,564417,399172,connect,ended,90.0,,,1.0,30.0,late
5674,564937,230201,connect,ended,-12.0,,,-1.0,48.0,early
5675,564959,376840,connect,ended,-2.0,,,-1.0,58.0,early
5678,565321,365926,connect,ended,-30.0,,,-1.0,30.0,early
5691,566245,369881,connect,ended,4.0,,,0.0,4.0,late
5692,566272,389935,connect,ended,-678.0,,,-12.0,42.0,early
5701,561947,390927,connect,ended,40.0,537960.0,660.0,0.0,40.0,late
5702,561965,303309,connect,ended,149.0,,,2.0,29.0,late
5713,562848,272430,connect,ended,-63.0,564600.0,330.0,-2.0,57.0,early
5723,563303,409993,connect,ended,-85.0,,,-2.0,35.0,early
5724,563421,243208,connect,ended,23.0,,,0.0,23.0,late
5725,563652,299063,connect,ended,-22.0,561530.0,270.0,-1.0,38.0,early
5726,563704,173061,connect,ended,-4.0,,,-1.0,56.0,early
5728,563765,385627,connect,ended,5.0,,,0.0,5.0,late
5731,563956,401475,connect,ended,-4.0,,,-1.0,56.0,early
5732,564127,389565,connect,ended,81.0,565814.0,510.0,1.0,21.0,late
5735,564416,384193,connect,ended,84.0,,,1.0,24.0,late
5737,564597,359045,connect,ended,80.0,,,1.0,20.0,late
5740,565171,410939,connect,ended,-15.0,567442.0,240.0,-1.0,45.0,early
5755,568373,173598,connect,ended,-750.0,,,-13.0,30.0,early
5757,568539,375126,connect,ended,139.0,566798.0,630.0,2.0,19.0,late
5759,569145,300505,connect,ended,46.0,560610.0,90.0,0.0,46.0,late
5761,569182,263298,connect,ended,-9.0,,,-1.0,51.0,early
5772,570139,398586,connect,ended,94.0,,,1.0,34.0,late
5776,571384,410939,connect,ended,16.0,,,0.0,16.0,late
5781,571991,241021,connect,ended,-14.0,,,-1.0,46.0,early
5783,572268,398152,connect,ended,-44.0,,,-1.0,16.0,early
5785,572853,366164,connect,ended,39.0,569272.0,360.0,0.0,39.0,late
5789,573895,401475,connect,ended,-62.0,,,-2.0,58.0,early
5793,574710,318728,connect,ended,16.0,,,0.0,16.0,late
5795,565633,360474,connect,ended,,,,,,on time
5797,565760,386413,connect,ended,-2.0,550806.0,0.0,-1.0,58.0,early
5804,559283,392241,connect,ended,-3.0,,,-1.0,57.0,early
5814,560182,288908,connect,ended,2.0,,,0.0,2.0,late
5818,560530,295726,connect,ended,-11.0,,,-1.0,49.0,early
5822,560677,307793,connect,ended,-57.0,,,-1.0,3.0,early
5830,561162,295783,connect,ended,74.0,,,1.0,14.0,late
5836,561480,364652,connect,ended,-48.0,564545.0,60.0,-1.0,12.0,early
5853,562907,166540,connect,ended,3.0,,,0.0,3.0,late
5855,562947,398586,connect,ended,148.0,,,2.0,28.0,late
5862,509127,347873,connect,ended,77.0,,,1.0,17.0,late
5868,512710,352745,connect,ended,-337.0,,,-6.0,23.0,early
5878,517656,390927,connect,ended,-111.0,,,-2.0,9.0,early
5885,519392,336850,connect,ended,-226.0,,,-4.0,14.0,early
5893,523467,371632,connect,ended,-6.0,,,-1.0,54.0,early
5898,528109,319866,connect,ended,-942.0,,,-16.0,18.0,early
5903,529051,381787,connect,ended,-272.0,,,-5.0,28.0,early
5908,530687,377670,connect,ended,721.0,,,12.0,1.0,late
5915,567020,216576,connect,ended,-470.0,563059.0,150.0,-8.0,10.0,early
5922,567396,373864,connect,ended,-412.0,,,-7.0,8.0,early
5928,567684,317572,connect,ended,141.0,,,2.0,21.0,late
5929,567716,297962,connect,ended,-8.0,,,-1.0,52.0,early
5930,567798,350099,connect,ended,-45.0,,,-1.0,15.0,early
5932,567911,406551,connect,ended,127.0,,,2.0,7.0,late
5936,568119,342699,connect,ended,14.0,563443.0,30.0,0.0,14.0,late
5941,568753,371632,connect,ended,-18.0,,,-1.0,42.0,early
5948,512400,385391,connect,ended,-120.0,,,-2.0,0.0,early
5951,513982,166540,connect,ended,-21.0,,,-1.0,39.0,early
5957,517688,366371,connect,ended,-245.0,539108.0,0.0,-5.0,55.0,early
5960,518580,345080,connect,ended,88.0,,,1.0,28.0,late
5972,523928,402822,connect,ended,79.0,,,1.0,19.0,late
5975,525787,372809,connect,ended,10.0,561211.0,600.0,0.0,10.0,late
5982,529189,312545,connect,ended,30.0,,,0.0,30.0,late
5985,529626,324821,connect,ended,66.0,537033.0,720.0,1.0,6.0,late
6001,532994,340868,connect,ended,-59.0,,,-1.0,1.0,early
6004,533164,367302,connect,ended,18.0,,,0.0,18.0,late
6016,569694,385391,connect,ended,37.0,,,0.0,37.0,late
6028,509463,339189,connect,ended,75.0,527519.0,360.0,1.0,15.0,late
6029,509575,319886,connect,ended,45.0,,,0.0,45.0,late
6039,516858,328135,connect,ended,-6.0,,,-1.0,54.0,early
6046,521058,359045,connect,ended,-36.0,,,-1.0,24.0,early
6052,523955,339138,connect,ended,5.0,,,0.0,5.0,late
6054,524378,298356,connect,ended,-126.0,,,-3.0,54.0,early
6064,527686,350502,connect,ended,-23.0,,,-1.0,37.0,early
6065,527974,367632,connect,ended,8.0,,,0.0,8.0,late
6089,534073,241021,connect,ended,283.0,,,4.0,43.0,late
6113,536038,390702,connect,ended,37.0,554652.0,660.0,0.0,37.0,late
6115,536298,291856,connect,ended,-318.0,,,-6.0,42.0,early
6121,536701,332588,connect,ended,-58.0,,,-1.0,2.0,early
6126,537133,340868,connect,ended,24.0,532994.0,60.0,0.0,24.0,late
6129,537231,375621,connect,ended,-14.0,,,-1.0,46.0,early
6140,567530,298757,connect,ended,55.0,,,0.0,55.0,late
6150,568361,324821,connect,ended,-8.0,564684.0,90.0,-1.0,52.0,early
6153,568926,357530,connect,ended,-22.0,,,-1.0,38.0,early
6158,569299,310636,connect,ended,33.0,,,0.0,33.0,late
6162,569642,399524,connect,ended,-118.0,,,-2.0,2.0,early
6163,569941,336349,connect,ended,-25.0,,,-1.0,35.0,early
6167,570542,369881,connect,ended,243.0,,,4.0,3.0,late
6168,570958,396009,connect,ended,4.0,,,0.0,4.0,late
6171,571722,381787,connect,ended,-43.0,,,-1.0,17.0,early
6174,572403,390467,connect,ended,,573546.0,360.0,,,on time
6175,572541,295783,connect,ended,46.0,,,0.0,46.0,late
6181,573437,349171,connect,ended,,,,,,on time
6190,576292,181625,connect,ended,9.0,573698.0,90.0,0.0,9.0,late
6199,511112,381708,connect,ended,29.0,,,0.0,29.0,late
6222,526948,214635,connect,ended,29.0,522667.0,180.0,0.0,29.0,late
6226,527925,401281,connect,ended,-96.0,535185.0,60.0,-2.0,24.0,early
6228,528643,304392,connect,ended,13.0,,,0.0,13.0,late
6239,531102,385003,connect,ended,-552.0,,,-10.0,48.0,early
6253,538270,394555,connect,ended,-43.0,,,-1.0,17.0,early
6255,538395,369648,connect,ended,112.0,,,1.0,52.0,late
6259,538512,360299,connect,ended,-46.0,,,-1.0,14.0,early
6261,538640,399528,connect,ended,-1.0,,,-1.0,59.0,early
6269,539229,354267,connect,ended,244.0,,,4.0,4.0,late
6271,539317,305816,connect,ended,-159.0,,,-3.0,21.0,early
6278,539798,337219,connect,ended,-22.0,,,-1.0,38.0,early
6279,539866,348526,connect,ended,-137.0,,,-3.0,43.0,early
6284,540166,227119,connect,ended,-459.0,,,-8.0,21.0,early
6292,540741,289720,connect,ended,4.0,,,0.0,4.0,late
6296,540804,385178,connect,ended,34.0,,,0.0,34.0,late
6305,541383,336650,connect,ended,,,,,,on time
6306,541533,344254,connect,ended,-150.0,,,-3.0,30.0,early
6319,542392,379751,connect,ended,-33.0,541396.0,0.0,-1.0,27.0,early
6322,542429,331339,connect,ended,-6.0,,,-1.0,54.0,early
6331,543190,369938,connect,ended,-567.0,,,-10.0,33.0,early
6332,543422,376311,connect,ended,9.0,,,0.0,9.0,late
6334,543595,312078,connect,ended,-246.0,,,-5.0,54.0,early
6335,543613,383674,connect,ended,104.0,,,1.0,44.0,late
6336,543696,347208,connect,ended,-141.0,538244.0,510.0,-3.0,39.0,early
6342,543824,383625,connect,ended,-1404.0,,,-24.0,36.0,early
6343,543943,375882,connect,ended,10.0,,,0.0,10.0,late
6345,544032,374081,connect,ended,147.0,,,2.0,27.0,late
6353,544580,384657,connect,ended,-97.0,,,-2.0,23.0,early
6356,544902,387939,connect,ended,32.0,545532.0,510.0,0.0,32.0,late
6362,545330,296815,connect,ended,-37.0,,,-1.0,23.0,early
6380,546464,389785,connect,ended,-1.0,550903.0,690.0,-1.0,59.0,early
6382,546511,402562,connect,ended,14.0,,,0.0,14.0,late
6384,546557,311923,connect,ended,-470.0,539744.0,240.0,-8.0,10.0,early
6385,546562,328135,connect,ended,-43.0,,,-1.0,17.0,early
6391,546894,359049,connect,ended,2.0,,,0.0,2.0,late
6395,547058,373893,connect,ended,-137.0,,,-3.0,43.0,early
6408,547967,337437,connect,ended,-108.0,,,-2.0,12.0,early
6413,548313,255576,connect,ended,111.0,,,1.0,51.0,late
6414,548417,272590,connect,ended,0.0,,,0.0,0.0,on time
6417,548553,339149,connect,ended,,,,,,on time
6430,549520,299063,connect,ended,6.0,,,0.0,6.0,late
6432,549647,369542,connect,ended,53.0,563235.0,480.0,0.0,53.0,late
6433,549659,367608,connect,ended,-72.0,548833.0,120.0,-2.0,48.0,early
6438,549974,361530,connect,ended,-248.0,,,-5.0,52.0,early
6452,550882,381499,connect,ended,41.0,,,0.0,41.0,late
6454,551100,193151,connect,ended,19.0,,,0.0,19.0,late
6458,551401,265239,connect,ended,-2938.0,,,-49.0,2.0,early
6466,552027,195977,connect,ended,-73.0,,,-2.0,47.0,early
6471,552305,342699,connect,ended,-66.0,,,-2.0,54.0,early
6474,552558,390976,connect,ended,-53.0,,,-1.0,7.0,early
6478,552821,351549,connect,ended,65.0,,,1.0,5.0,late
6479,552826,300505,connect,ended,13.0,,,0.0,13.0,late
6485,553418,340594,connect,ended,50.0,,,0.0,50.0,late
6488,553597,390509,connect,ended,-838.0,,,-14.0,2.0,early
6502,554800,384657,connect,ended,-672.0,,,-12.0,48.0,early
6505,555050,364055,connect,ended,14.0,,,0.0,14.0,late
6506,555291,369447,connect,ended,35.0,,,0.0,35.0,late
6509,555341,297962,connect,ended,-24.0,,,-1.0,36.0,early
6531,557210,406124,connect,ended,-10.0,,,-1.0,50.0,early
6538,557726,356551,connect,ended,719.0,,,11.0,59.0,late
6553,558635,371162,connect,ended,-13.0,,,-1.0,47.0,early
6554,558721,387753,connect,ended,-8.0,,,-1.0,52.0,early
6576,566639,300528,connect,ended,-33.0,,,-1.0,27.0,early
6585,567537,357530,connect,ended,435.0,,,7.0,15.0,late
6595,568298,342699,connect,ended,7.0,,,0.0,7.0,late
6597,568573,342699,connect,ended,11.0,568298.0,60.0,0.0,11.0,late
6599,568709,318728,connect,ended,151.0,,,2.0,31.0,late
6621,571837,285452,connect,ended,0.0,,,0.0,0.0,on time
6623,571882,342699,connect,ended,-352.0,,,-6.0,8.0,early
6624,571892,339138,connect,ended,20.0,571215.0,90.0,0.0,20.0,late
6626,572373,203773,connect,ended,459.0,,,7.0,39.0,late
6629,572624,406027,connect,ended,76.0,,,1.0,16.0,late
6635,573923,401870,connect,ended,-69.0,,,-2.0,51.0,early
6638,575402,340616,connect,ended,-16.0,,,-1.0,44.0,early
6646,563987,390927,connect,ended,-65.0,,,-2.0,55.0,early
6651,564296,393172,connect,ended,4.0,,,0.0,4.0,late
6656,564520,319225,connect,ended,23.0,,,0.0,23.0,late
6657,564574,375421,connect,ended,34.0,515659.0,330.0,0.0,34.0,late
6670,565404,291856,connect,ended,14.0,,,0.0,14.0,late
6680,532208,317652,connect,ended,104.0,,,1.0,44.0,late
6683,532705,399528,connect,ended,14.0,,,0.0,14.0,late
6690,563038,225486,connect,ended,-20.0,,,-1.0,40.0,early
6691,563302,212178,connect,ended,54.0,,,0.0,54.0,late
6696,563791,345865,connect,ended,-77.0,,,-2.0,43.0,early
6700,563965,332582,connect,ended,-13.0,,,-1.0,47.0,early
6702,564143,374741,connect,ended,-122.0,,,-3.0,58.0,early
6703,564144,351546,connect,ended,210.0,,,3.0,30.0,late
6704,564255,402528,connect,ended,-74.0,,,-2.0,46.0,early
6714,565247,406625,connect,ended,0.0,561277.0,0.0,0.0,0.0,on time
6715,565328,189835,connect,ended,-73.0,,,-2.0,47.0,early
6716,565483,319886,connect,ended,-115.0,,,-2.0,5.0,early
6719,565658,406625,connect,ended,-11.0,,,-1.0,49.0,early
6720,565672,216148,connect,ended,-111.0,553717.0,150.0,-2.0,9.0,early
6727,565967,351549,connect,ended,12.0,,,0.0,12.0,late
6730,566098,289496,connect,ended,17.0,,,0.0,17.0,late
6735,566349,384657,connect,ended,199.0,561722.0,690.0,3.0,19.0,late
6750,567177,225795,connect,ended,-422.0,,,-8.0,58.0,early
6781,569686,377219,connect,ended,31.0,,,0.0,31.0,late
6793,571422,308073,connect,ended,-176.0,,,-3.0,4.0,early
6795,571747,302561,connect,ended,215.0,,,3.0,35.0,late
6805,572809,164960,connect,ended,79.0,,,1.0,19.0,late
6808,573702,406967,connect,ended,-27.0,,,-1.0,33.0,early
6810,574151,241021,connect,ended,3.0,572285.0,720.0,0.0,3.0,late
6812,574560,385628,connect,ended,3.0,,,0.0,3.0,late
6825,535939,386259,connect,ended,-151.0,538439.0,720.0,-3.0,29.0,early
6829,536318,299063,connect,ended,-30.0,,,-1.0,30.0,early
6833,536541,380700,connect,ended,34.0,,,0.0,34.0,late
6843,537161,376760,connect,ended,-52.0,539557.0,90.0,-1.0,8.0,early
6845,537456,385303,connect,ended,-79.0,,,-2.0,41.0,early
6846,537496,342154,connect,ended,47.0,,,0.0,47.0,late
6847,537544,340579,connect,ended,69.0,,,1.0,9.0,late
6850,537713,194384,connect,ended,5.0,,,0.0,5.0,late
6865,538478,319886,connect,ended,-117.0,,,-2.0,3.0,early
6867,538593,377591,connect,ended,9.0,,,0.0,9.0,late
6871,538719,338216,connect,ended,124.0,,,2.0,4.0,late
6892,535525,296967,connect,ended,-29.0,,,-1.0,31.0,early
6899,532065,396034,connect,ended,-46.0,,,-1.0,14.0,early
6906,534277,383344,connect,ended,-61.0,,,-2.0,59.0,early
6908,535087,317330,connect,ended,-57.0,,,-1.0,3.0,early
6922,536110,289720,connect,ended,10.0,,,0.0,10.0,late
6938,537482,241021,connect,ended,-67.0,,,-2.0,53.0,early
6952,538252,280227,connect,ended,-12.0,551501.0,660.0,-1.0,48.0,early
6959,538844,365926,connect,ended,-136.0,537243.0,300.0,-3.0,44.0,early
6961,538994,324821,connect,ended,-66.0,529626.0,600.0,-2.0,54.0,early
6981,540302,347873,connect,ended,194.0,,,3.0,14.0,late
6990,540986,401281,connect,ended,-60.0,,,-1.0,0.0,early
7005,566177,374741,connect,ended,-49.0,564143.0,690.0,-1.0,11.0,early
7013,566651,347464,connect,ended,32.0,,,0.0,32.0,late
7016,566704,390467,connect,ended,,,,,,on time
7022,566973,349894,connect,ended,-592.0,563509.0,60.0,-10.0,8.0,early
7023,567058,359045,connect,ended,88.0,,,1.0,28.0,late
7034,540127,296967,connect,ended,7.0,519682.0,720.0,0.0,7.0,late
7049,541049,385523,connect,ended,82.0,,,1.0,22.0,late
7055,541453,319866,connect,ended,41.0,,,0.0,41.0,late
7056,541464,358082,connect,ended,-194.0,,,-4.0,46.0,early
7057,541591,360474,connect,ended,-77.0,,,-2.0,43.0,early
7062,541745,398586,connect,ended,298.0,,,4.0,58.0,late
7063,541766,404130,connect,ended,-581.0,,,-10.0,19.0,early
7065,542172,374298,connect,ended,149.0,,,2.0,29.0,late
7084,543736,241021,connect,ended,-361.0,540311.0,30.0,-7.0,59.0,early
7087,543942,365926,connect,ended,37.0,,,0.0,37.0,late
7095,544289,358982,connect,ended,-103.0,,,-2.0,17.0,early
7099,567994,409993,connect,ended,23.0,,,0.0,23.0,late
7101,568065,383110,connect,ended,-64.0,,,-2.0,56.0,early
7118,570815,286391,connect,ended,25.0,,,0.0,25.0,late
7121,571415,310553,connect,ended,-251.0,,,-5.0,49.0,early
7124,571925,193151,connect,ended,-56.0,,,-1.0,4.0,early
7125,572075,385303,connect,ended,27.0,,,0.0,27.0,late
7126,572266,410896,connect,ended,-62.0,,,-2.0,58.0,early
7129,572975,381857,connect,ended,405.0,,,6.0,45.0,late
7130,573073,383443,connect,ended,-44.0,,,-1.0,16.0,early
7131,573098,373685,connect,ended,4.0,,,0.0,4.0,late
7142,534156,245154,connect,ended,90.0,,,1.0,30.0,late
7155,535647,317572,connect,ended,-89.0,533793.0,0.0,-2.0,31.0,early
7162,536189,352015,connect,ended,-6.0,,,-1.0,54.0,early
7168,536718,336935,connect,ended,-39.0,,,-1.0,21.0,early
7187,538178,392368,connect,ended,1064.0,557772.0,720.0,17.0,44.0,late
7191,538403,341861,connect,ended,-167.0,,,-3.0,13.0,early
7194,538538,337414,connect,ended,28.0,,,0.0,28.0,late
7201,539276,323889,connect,ended,-84.0,,,-2.0,36.0,early
7203,539355,393968,connect,ended,66.0,,,1.0,6.0,late
7209,539955,402528,connect,ended,-5.0,,,-1.0,55.0,early
7210,540103,358982,connect,ended,-2.0,,,-1.0,58.0,early
7213,540277,166540,connect,ended,-131.0,,,-3.0,49.0,early
7215,540562,230201,connect,ended,-594.0,539340.0,180.0,-10.0,6.0,early
7217,540592,375126,connect,ended,-65.0,,,-2.0,55.0,early
7224,540897,358895,connect,ended,10.0,,,0.0,10.0,late
7230,536202,346755,connect,ended,34.0,,,0.0,34.0,late
7236,537029,338584,connect,ended,-43.0,542364.0,0.0,-1.0,17.0,early
7248,538056,336349,connect,ended,47.0,,,0.0,47.0,late
7251,538269,393723,connect,ended,-855.0,,,-15.0,45.0,early
7252,538414,301799,connect,ended,0.0,,,0.0,0.0,on time
7264,539124,211876,connect,ended,-43.0,,,-1.0,17.0,early
7268,539442,352745,connect,ended,-13.0,,,-1.0,47.0,early
7269,539444,349894,connect,ended,30.0,,,0.0,30.0,late
7270,539497,387107,connect,ended,-108.0,,,-2.0,12.0,early
7274,539874,346208,connect,ended,-91.0,,,-2.0,29.0,early
7279,540090,406126,connect,ended,-42.0,,,-1.0,18.0,early
7290,540982,364882,connect,ended,-10.0,,,-1.0,50.0,early
7294,541079,356106,connect,ended,-24.0,531984.0,120.0,-1.0,36.0,early
7298,541333,280227,connect,ended,75.0,,,1.0,15.0,late
7300,541621,401871,connect,ended,-480.0,,,-8.0,0.0,early
7302,541704,363133,connect,ended,-5.0,,,-1.0,55.0,early
7305,541930,351597,connect,ended,-58.0,,,-1.0,2.0,early
7313,542372,191461,connect,ended,-70.0,,,-2.0,50.0,early
7316,542640,358082,connect,ended,-18.0,,,-1.0,42.0,early
7323,542962,337219,connect,ended,18.0,537400.0,240.0,0.0,18.0,late
7328,543343,248300,connect,ended,140.0,564185.0,450.0,2.0,20.0,late
7334,543777,373685,connect,ended,63.0,,,1.0,3.0,late
7341,560285,364907,connect,ended,-169.0,,,-3.0,11.0,early
7344,560485,216576,connect,ended,-52.0,567020.0,0.0,-1.0,8.0,early
7346,560651,396435,connect,ended,-4.0,,,-1.0,56.0,early
7348,560814,371217,connect,ended,-7.0,,,-1.0,53.0,early
7350,560977,364055,connect,ended,23.0,,,0.0,23.0,late
7352,561185,406554,connect,ended,-5.0,,,-1.0,55.0,early
7356,561395,395204,connect,ended,117.0,,,1.0,57.0,late
7366,562287,387939,connect,ended,15.0,,,0.0,15.0,late
7367,562288,366981,connect,ended,-25.0,,,-1.0,35.0,early
7376,563212,262344,connect,ended,-60.0,,,-1.0,0.0,early
7405,564869,365926,connect,ended,41.0,565321.0,180.0,0.0,41.0,late
7409,565180,299063,connect,ended,-5.0,,,-1.0,55.0,early
7410,565221,299017,connect,ended,40.0,,,0.0,40.0,late
7413,565467,341119,connect,ended,,,,,,on time
7415,565519,370597,connect,ended,162.0,,,2.0,42.0,late
7425,566227,390467,connect,ended,-17.0,,,-1.0,43.0,early
7432,566711,344254,connect,ended,37.0,,,0.0,37.0,late
7433,566731,193097,connect,ended,252.0,,,4.0,12.0,late
7436,566968,366872,connect,ended,-31.0,,,-1.0,29.0,early
7437,567036,355900,connect,ended,86.0,,,1.0,26.0,late
7442,567494,255377,connect,ended,-198.0,,,-4.0,42.0,early
7446,542109,316744,connect,ended,9.0,,,0.0,9.0,late
7457,542891,325328,connect,ended,-163.0,549523.0,630.0,-3.0,17.0,early
7463,543525,386259,connect,ended,11.0,541605.0,0.0,0.0,11.0,late
7477,544402,366164,connect,ended,-18.0,554118.0,720.0,-1.0,42.0,early
7479,544711,243208,connect,ended,12.0,,,0.0,12.0,late
