,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_hours,delay_minutes,delay,delay_days,checkin_late,checkin_late_hours,checkin_late_minutes,checkin_time
19145,565099,413351,mobile,ended,9.0,561247.0,0.0,0.0,9.0,late,0.0,9.0,0.0,9.0,late
19409,556850,346952,mobile,ended,48.0,553865.0,30.0,0.0,48.0,late,0.0,18.0,0.0,18.0,late
19411,557086,398733,mobile,ended,4.0,555668.0,0.0,0.0,4.0,late,0.0,4.0,0.0,4.0,late
19454,559512,248300,connect,ended,58.0,552427.0,0.0,0.0,58.0,late,0.0,58.0,0.0,58.0,late
19483,555299,371572,connect,ended,641.0,549796.0,0.0,10.0,41.0,late,0.0,641.0,10.0,41.0,late
19623,567535,368391,mobile,ended,65.0,539310.0,30.0,1.0,5.0,late,0.0,35.0,0.0,35.0,late
19646,568708,275364,connect,ended,39.0,563004.0,0.0,0.0,39.0,late,0.0,39.0,0.0,39.0,late
19744,569362,404953,mobile,ended,142.0,568070.0,90.0,2.0,22.0,late,0.0,52.0,0.0,52.0,late
19860,564205,355805,mobile,ended,41.0,564523.0,30.0,0.0,41.0,late,0.0,11.0,0.0,11.0,late
19898,574757,340699,mobile,ended,129.0,570928.0,0.0,2.0,9.0,late,0.0,129.0,2.0,9.0,late
20042,563473,348294,connect,ended,64.0,561643.0,0.0,1.0,4.0,late,0.0,64.0,1.0,4.0,late
20043,563711,310661,mobile,ended,245.0,549715.0,90.0,4.0,5.0,late,0.0,155.0,2.0,35.0,late
20105,568263,369381,mobile,ended,346.0,567507.0,180.0,5.0,46.0,late,0.0,166.0,2.0,46.0,late
20130,541832,354938,mobile,ended,53.0,533526.0,0.0,0.0,53.0,late,0.0,53.0,0.0,53.0,late
20144,542869,300377,mobile,ended,13.0,532441.0,0.0,0.0,13.0,late,0.0,13.0,0.0,13.0,late
20154,543654,370420,mobile,ended,93.0,506194.0,0.0,1.0,33.0,late,0.0,93.0,1.0,33.0,late
20173,556973,384396,connect,ended,225.0,553994.0,150.0,3.0,45.0,late,0.0,75.0,1.0,15.0,late
20255,573423,358764,mobile,ended,52.0,569793.0,30.0,0.0,52.0,late,0.0,22.0,0.0,22.0,late
20283,567264,410255,connect,ended,183.0,564975.0,0.0,3.0,3.0,late,0.0,183.0,3.0,3.0,late
20438,568411,358023,mobile,ended,641.0,564155.0,0.0,10.0,41.0,late,0.0,641.0,10.0,41.0,late
20511,542314,388111,mobile,ended,38.0,509727.0,30.0,0.0,38.0,late,0.0,8.0,0.0,8.0,late
20619,549715,310661,mobile,ended,87.0,560574.0,60.0,1.0,27.0,late,0.0,27.0,0.0,27.0,late
20777,552034,361156,mobile,ended,335.0,548172.0,0.0,5.0,35.0,late,0.0,335.0,5.0,35.0,late
20802,553351,406124,connect,ended,90.0,557210.0,0.0,1.0,30.0,late,0.0,90.0,1.0,30.0,late
20922,561403,412139,mobile,ended,290.0,563942.0,120.0,4.0,50.0,late,0.0,170.0,2.0,50.0,late
20924,561476,410402,mobile,ended,11.0,550186.0,0.0,0.0,11.0,late,0.0,11.0,0.0,11.0,late
21054,562649,379751,connect,ended,72.0,565386.0,0.0,1.0,12.0,late,0.0,72.0,1.0,12.0,late
21163,565721,381470,mobile,ended,44.0,564855.0,0.0,0.0,44.0,late,0.0,44.0,0.0,44.0,late
21286,569717,377312,mobile,ended,230.0,545045.0,90.0,3.0,50.0,late,0.0,140.0,2.0,20.0,late
